district,state,records
Hingoli,maharashtra,2
Mumbai city,maharashtra,2
Mumbai suburban,maharashtra,2
Osmanabad,maharashtra,2
Sangli,maharashtra,2
Baran,rajasthan,5
Pratapgarh,rajasthan,5
Auraiya,uttar pradesh,1
Bareilly,uttar pradesh,1
Basti,uttar pradesh,1
Bhadohi,uttar pradesh,1
Chitrakoot,uttar pradesh,1
Deoria,uttar pradesh,1
Etah,uttar pradesh,1
Etawah,uttar pradesh,1
Farrukhabad,uttar pradesh,1
Firozabad,uttar pradesh,1
Gonda,uttar pradesh,1
Hamirpur,uttar pradesh,1
Hardoi,uttar pradesh,1
Jalaun,uttar pradesh,1
jhansi,uttar pradesh,1
Kannauj,uttar pradesh,1
Kanpur dehat,uttar pradesh,1
Kanpur nagar,uttar pradesh,1
Kaushambi,uttar pradesh,1
Kheri,uttar pradesh,1
Kushinagar,uttar pradesh,1
Lalitpur,uttar pradesh,1
Maharajganj,uttar pradesh,1
mahoba,uttar pradesh,1
Mainpuri,uttar pradesh,1
Mathura,uttar pradesh,1
Mirzapur,uttar pradesh,1
Pilibhit,uttar pradesh,1
Praygraj,uttar pradesh,1
Sant kabir nagar,uttar pradesh,1
Sant ravidas nagar,uttar pradesh,1
Sitapur,uttar pradesh,1
Sonbhadra,uttar pradesh,1
Sultanpur,uttar pradesh,1
Unnao,uttar pradesh,1
Burhanpur,madhya pradesh,3
Hoshangabad,madhya pradesh,3
Morena,madhya pradesh,3
Raisen,madhya pradesh,3
daman,gujarat,1
