district,soil_type
Amaravati,black
Amravati,black
Aurangabad,black
Beed,black
Bhandara,black
Buldana,black
Chandrapur,red
Dhule,black
Gadchiroli,red
Gondia,red
Hingoli,black
Jalgaon,black
Jalna,black
Kolhapur,black
Latur,black
Mumbai city,laterite
Mumbai suburban,laterite
Nagpur,black
Nanded,black
Nandurbar,black
Nashik,black
Osmanabad,black
Palghar,laterite
Parbhani,black
Pune,black
Raigad,laterite
Ratnagiri,laterite
Sangli,black
Satara,black
Sindudurg,laterite
Solapur,black
Thane,laterite
Wardha,black
Washim,black
Yavatmal,black
Ajmer,alluvial
Alwar,alluvial
Banswara,red
Baran,black
Barmer,sandy
Bharatpur,alluvial
Bhilwara,alluvial
Bikaner,sandy
Bundi,alluvial
Chittorgarh,alluvial
Churu,sandy
Dausa,alluvial
Dholpur,alluvial
Dungarpur,red
Ganganagar,alluvial
Hanumangarh,alluvial
Jaipur,alluvial
Jaisalmer,sandy
Jalore,alluvial
Jhalawar,black
Jhunjhunu,alluvial
Jhunjhunun,alluvial
Jodhpur,alluvial
Karauli,alluvial
Kota,black
Nagaur,sandy
Pali,alluvial
Pratapgarh,red
Rajsamand,alluvial
Sawai madhopur,alluvial
Sikar,alluvial
Sirohi,alluvial
Tonk,alluvial
Udaipur,red
Agra,alluvial
Aligarh,alluvial
Allahbad,alluvial
Ambedkar nagar,alluvial
Auraiya,alluvial
Ayodhya,alluvial
Azamgarh,alluvial
Baghpat,alluvial
Bahraich,sandy
Ballia,alluvial
Balrampur,alluvial
Banda,red
Barabanki,alluvial
Bareilly,alluvial
Basti,alluvial
Bhadohi,alluvial
Bijnor,alluvial
Budaun,alluvial
Buland shahar,alluvial
Chandauli,alluvial
Chitrakoot,red
Deoria,alluvial
Etah,alluvial
Etawah,alluvial
Farrukhabad,alluvial
Fatehpur,alluvial
Firozabad,alluvial
Gautam buddha nagar,alluvial
G.b.nagar,alluvial
Ghaziabad,alluvial
Ghazipur,alluvial
Gonda,alluvial
Gorakhpur,alluvial
Hamirpur,alluvial
Hardoi,alluvial
Hathras,alluvial
Jalaun,alluvial
Jaunpur,alluvial
jhansi,red
Jyotiba phule nagar,alluvial
Kannauj,alluvial
Kanpur dehat,alluvial
Kanpur nagar,alluvial
Kaushambi,alluvial
Kheri,sandy
Kushinagar,alluvial
Lalitpur,red
Lucknow,alluvial
Maharajganj,alluvial
mahoba,red
Mainpuri,alluvial
Mathura,alluvial
Mau,alluvial
Meerut,alluvial
Mirzapur,alluvial
Moradabad,alluvial
Muzaffarnagar,alluvial
Pilibhit,sandy
Pratapgarh,alluvial
Praygraj,alluvial
Raibareli,alluvial
Rampur,alluvial
Saharanpur,alluvial
Sant kabir nagar,alluvial
Sant ravidas nagar,alluvial
Shahjhanpur,alluvial
Shrawasti,sandy
Siddharthnagar,alluvial
Sitapur,alluvial
Sonbhadra,alluvial
Sultanpur,alluvial
Unnao,alluvial
Varanasi,alluvial
Agar malwa,black
Alirajpur,black
Anuppur,red
Ashok nagar,black
Balaghat,red
Barwani,black
Betul,black
Bhind,black
Bhopal,black
Burhanpur,black
Chhatarpur,black
Chhindwara,black
Damoh,black
Datia,black
Dewas,black
Dhar,black
Dindori,red
East nimar,black
Guna,black
Gwalior,black
Harda,black
Hoshangabad,black
Indore,black
Jabalpur,black
Jhabua,black
Katni,black
Mandla,red
Mandsaur,black
Morena,black
Narsimhapur,black
Neemuch,black
Panna,black
Raisen,black
Rajgarh,black
Rajnandgaon,black
Ratlam,black
Rewa,black
Sagar,black
Satna,black
Sehore,black
Seoni,black
Shahdol,red
Shajapur,black
Sheopur,black
Shivpuri,black
Sidhi,black
Singrauli,black
Tikamgarh,black
Ujjain,black
Umaria,black
Vidisha,black
West nimar,black
ahmedabad,black
amreli,black
anand,black
aravalli,red
banaskantha,sandy
bharuch,black
bhavnagar,black
chhota udaipur,red
daman,black
dang,laterite
devbhumi dwarka,black
diu,black
dohad,red
gandhinagar,black
jamnagar,black
junagadh,black
kachchh,sandy
kheda,black
mehsana,black
narmada,black
navsari,laterite
panchmahals,black
patan,sandy
porbandar,black
rajkot,black
sabarkantha,black
surat,black
surendranagar,sandy
vadodara,black
valsad,laterite
