district,urban
Amaravati,0
Amravati,0
Aurangabad,1
Beed,0
Bhandara,0
Buldana,0
Chandrapur,0
Dhule,0
Gadchiroli,0
Gondia,0
Hingoli,0
Jalgaon,0
Jalna,0
Kolhapur,1
Latur,0
Mumbai city,1
Mumbai suburban,1
Nagpur,1
Nanded,0
Nandurbar,0
Nashik,1
Osmanabad,0
Palghar,0
Parbhani,0
Pune,1
Raigad,0
Ratnagiri,0
Sangli,0
Satara,0
Sindudurg,0
Solapur,1
Thane,1
Wardha,0
Washim,0
Yavatmal,0
Ajmer,1
Alwar,0
Banswara,0
Baran,0
Barmer,0
Bharatpur,0
Bhilwara,0
Bikaner,1
Bundi,0
Chittorgarh,0
Churu,0
Dausa,0
Dholpur,0
Dungarpur,0
Ganganagar,0
Hanumangarh,0
Jaipur,1
Jaisalmer,0
Jalore,0
Jhalawar,0
Jhunjhunu,0
Jhunjhunun,0
Jodhpur,1
Karauli,0
Kota,1
Nagaur,0
Pali,0
Pratapgarh,0
Rajsamand,0
Sawai madhopur,0
Sikar,0
Sirohi,0
Tonk,0
Udaipur,1
Agra,1
Aligarh,0
Allahbad,0
Ambedkar nagar,0
Auraiya,0
Ayodhya,0
Azamgarh,0
Baghpat,0
Bahraich,0
Ballia,0
Balrampur,0
Banda,0
Barabanki,0
Bareilly,1
Basti,0
Bhadohi,0
Bijnor,0
Budaun,0
Buland shahar,0
Chandauli,0
Chitrakoot,0
Deoria,0
Etah,0
Etawah,0
Farrukhabad,0
Fatehpur,0
Firozabad,0
Gautam buddha nagar,1
G.b.nagar,0
Ghaziabad,1
Ghazipur,0
Gonda,0
Gorakhpur,1
Hamirpur,0
Hardoi,0
Hathras,0
Jalaun,0
Jaunpur,0
jhansi,0
Jyotiba phule nagar,0
Kannauj,0
Kanpur dehat,0
Kanpur nagar,1
Kaushambi,0
Kheri,0
Kushinagar,0
Lalitpur,0
Lucknow,1
Maharajganj,0
mahoba,0
Mainpuri,0
Mathura,0
Mau,0
Meerut,1
Mirzapur,0
Moradabad,0
Muzaffarnagar,0
Pilibhit,0
Pratapgarh,0
Praygraj,1
Raibareli,0
Rampur,0
Saharanpur,0
Sant kabir nagar,0
Sant ravidas nagar,0
Shahjhanpur,0
Shrawasti,0
Siddharthnagar,0
Sitapur,0
Sonbhadra,0
Sultanpur,0
Unnao,0
Varanasi,1
Agar malwa,0
Alirajpur,0
Anuppur,0
Ashok nagar,0
Balaghat,0
Barwani,0
Betul,0
Bhind,0
Bhopal,1
Burhanpur,0
Chhatarpur,0
Chhindwara,0
Damoh,0
Datia,0
Dewas,0
Dhar,0
Dindori,0
East nimar,0
Guna,0
Gwalior,1
Harda,0
Hoshangabad,0
Indore,1
Jabalpur,1
Jhabua,0
Katni,0
Mandla,0
Mandsaur,0
Morena,0
Narsimhapur,0
Neemuch,0
Panna,0
Raisen,0
Rajgarh,0
Rajnandgaon,0
Ratlam,0
Rewa,0
Sagar,0
Satna,0
Sehore,0
Seoni,0
Shahdol,0
Shajapur,0
Sheopur,0
Shivpuri,0
Sidhi,0
Singrauli,0
Tikamgarh,0
Ujjain,1
Umaria,0
Vidisha,0
West nimar,0
ahmedabad,1
amreli,0
anand,0
aravalli,0
banaskantha,0
bharuch,0
bhavnagar,1
chhota udaipur,0
daman,0
dang,0
devbhumi dwarka,0
diu,0
dohad,0
gandhinagar,1
jamnagar,0
junagadh,0
kachchh,0
kheda,0
mehsana,0
narmada,0
navsari,0
panchmahals,0
patan,0
porbandar,0
rajkot,1
sabarkantha,0
surat,1
surendranagar,0
vadodara,1
valsad,0
